"TF","MD_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"STAT6","0.2856273540429090096","0.2856273540429090096","0.2856273540429090096","Activated","233","viper","233","0.2856273540429090096",NA,NA,"4","Literature--ChIP-seq(rank=93); ARCHS4--Coexpression(rank=752); Enrichr--Queries(rank=918); GTEx--Coexpression(rank=1129)","1256","0.461899999999999977","ARCHS4 Coexpression,0.4619"
"YY1","-0.2570726828966517497","-0.2570726828966517497","0.2570726828966517497","Repressed","234","viper","234","0.2570726828966517497",NA,NA,"6","ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=111); GTEx--Coexpression(rank=207); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=968); ARCHS4--Coexpression(rank=1335)","489","0.128799999999999998","GTEx Coexpression,0.1288"
"CEBPB","0.2453918003032598549","0.2453918003032598549","0.2453918003032598549","Activated","235","viper","235","0.2453918003032598549",NA,NA,"6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=819); Enrichr--Queries(rank=829); ARCHS4--Coexpression(rank=888)","392","0.101700000000000013","ENCODE ChIP-seq,0.1017"
"HOXB13","0.2171500285627212534","0.2171500285627212534","0.2171500285627212534","Activated","236","viper","236","0.2171500285627212534",NA,NA,"4","ReMap--ChIP-seq(rank=117); GTEx--Coexpression(rank=152); ARCHS4--Coexpression(rank=263); Enrichr--Queries(rank=410)","366","0.094589999999999994","GTEx Coexpression,0.09459"
"ZBTB33","-0.2128261555740900979","-0.2128261555740900979","0.2128261555740900979","Repressed","237","viper","237","0.2128261555740900979",NA,NA,"5","ENCODE--ChIP-seq(rank=98); ReMap--ChIP-seq(rank=243); GTEx--Coexpression(rank=399); Enrichr--Queries(rank=883); ARCHS4--Coexpression(rank=1548)","814","0.248299999999999993","GTEx Coexpression,0.2483"
"SMAD4","-0.2118134721072756632","-0.2118134721072756632","0.2118134721072756632","Repressed","238","viper","238","0.2118134721072756632",NA,NA,"5","ReMap--ChIP-seq(rank=7); Literature--ChIP-seq(rank=16); Enrichr--Queries(rank=741); ARCHS4--Coexpression(rank=1189); GTEx--Coexpression(rank=1259)","99","0.023570000000000001","ReMap ChIP-seq,0.02357"
"NFATC2","-0.2115957888768620621","-0.2115957888768620621","0.2115957888768620621","Repressed","239","viper","239","0.2115957888768620621",NA,NA,"3","Enrichr--Queries(rank=123); ARCHS4--Coexpression(rank=424); GTEx--Coexpression(rank=1091)","344","0.087609999999999993","Enrichr Queries,0.08761"
"FOXJ2","0.1999431419156184053","0.1999431419156184053","0.1999431419156184053","Activated","240","viper","240","0.1999431419156184053",NA,NA,"4","ReMap--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=419); Enrichr--Queries(rank=751); GTEx--Coexpression(rank=1405)","723","0.208800000000000013","ReMap ChIP-seq,0.2088"
"HINFP","-0.1899058913022988737","-0.1899058913022988737","0.1899058913022988737","Repressed","241","viper","241","0.1899058913022988737",NA,NA,"3","ReMap--ChIP-seq(rank=232); GTEx--Coexpression(rank=668); ARCHS4--Coexpression(rank=1166)","1176","0.415700000000000014","GTEx Coexpression,0.4157"
"SMAD1","0.1851799674123028594","0.1851799674123028594","0.1851799674123028594","Activated","242","viper","242","0.1851799674123028594",NA,NA,"5","Literature--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=214); Enrichr--Queries(rank=468); GTEx--Coexpression(rank=1254); ARCHS4--Coexpression(rank=1497)","993","0.333299999999999985","Enrichr Queries,0.3333"
"FOXO4","-0.1732451549460385098","-0.1732451549460385098","0.1732451549460385098","Repressed","243","viper","243","0.1732451549460385098",NA,NA,"3","ARCHS4--Coexpression(rank=413); Enrichr--Queries(rank=473); GTEx--Coexpression(rank=1553)","824","0.253699999999999981","ARCHS4 Coexpression,0.2537"
"FOXO1","0.1688293485649217385","0.1688293485649217385","0.1688293485649217385","Activated","244","viper","244","0.1688293485649217385",NA,NA,"5","ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=81); Enrichr--Queries(rank=122); ARCHS4--Coexpression(rank=394); GTEx--Coexpression(rank=453)","341","0.086889999999999995","Enrichr Queries,0.08689"
"ZNF740","0.1602517045027832265","0.1602517045027832265","0.1602517045027832265","Activated","245","viper","245","0.1602517045027832265",NA,NA,"4","ReMap--ChIP-seq(rank=64); GTEx--Coexpression(rank=912); ARCHS4--Coexpression(rank=1146); Enrichr--Queries(rank=1146)","737","0.215499999999999997","ReMap ChIP-seq,0.2155"
"FOS","-0.1592249869329265544","-0.1592249869329265544","0.1592249869329265544","Repressed","246","viper","246","0.1592249869329265544",NA,NA,"5","ReMap--ChIP-seq(rank=55); ENCODE--ChIP-seq(rank=66); GTEx--Coexpression(rank=675); Enrichr--Queries(rank=699); ARCHS4--Coexpression(rank=1471)","651","0.185200000000000004","ReMap ChIP-seq,0.1852"
"RFX2","-0.1561724713425482192","-0.1561724713425482192","0.1561724713425482192","Repressed","247","viper","247","0.1561724713425482192",NA,NA,"4","Enrichr--Queries(rank=78); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=775); GTEx--Coexpression(rank=874)","230","0.055559999999999998","Enrichr Queries,0.05556"
"SNAPC4","-0.1533510909933468169","-0.1533510909933468169","0.1533510909933468169","Repressed","248","viper","248","0.1533510909933468169",NA,NA,"4","ReMap--ChIP-seq(rank=242); GTEx--Coexpression(rank=1146); Enrichr--Queries(rank=1393); ARCHS4--Coexpression(rank=1473)","1549","0.713099999999999845","GTEx Coexpression,0.7131"
"ZBED1","-0.1471007776812696122","-0.1471007776812696122","0.1471007776812696122","Repressed","249","viper","249","0.1471007776812696122",NA,NA,"4","ReMap--ChIP-seq(rank=198); Enrichr--Queries(rank=776); GTEx--Coexpression(rank=923); ARCHS4--Coexpression(rank=1575)","1383","0.552699999999999969","Enrichr Queries,0.5527"
"SOX9","-0.1318007535703100419","-0.1318007535703100419","0.1318007535703100419","Repressed","250","viper","250","0.1318007535703100419",NA,NA,"5","Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=129); ReMap--ChIP-seq(rank=167); ARCHS4--Coexpression(rank=171); GTEx--Coexpression(rank=908)","358","0.091880000000000003","Enrichr Queries,0.09188"
"FOSL2","0.1248358919817018076","0.1248358919817018076","0.1248358919817018076","Activated","251","viper","251","0.1248358919817018076",NA,NA,"5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=138); Enrichr--Queries(rank=913); GTEx--Coexpression(rank=1099); ARCHS4--Coexpression(rank=1374)","826","0.254199999999999982","ENCODE ChIP-seq,0.2542"
"SRF","0.1231457129038918408","0.1231457129038918408","0.1231457129038918408","Activated","252","viper","252","0.1231457129038918408",NA,NA,"6","ENCODE--ChIP-seq(rank=86); Literature--ChIP-seq(rank=142); GTEx--Coexpression(rank=168); ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=1296); ARCHS4--Coexpression(rank=1430)","401","0.104499999999999996","GTEx Coexpression,0.1045"
"NRF1","0.1228517696430885681","0.1228517696430885681","0.1228517696430885681","Activated","253","viper","253","0.1228517696430885681",NA,NA,"5","ENCODE--ChIP-seq(rank=82); ReMap--ChIP-seq(rank=224); Enrichr--Queries(rank=625); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=844)","1148","0.401700000000000002","ARCHS4 Coexpression,0.4017"
"SREBF1","0.0948900347655425302","0.0948900347655425302","0.0948900347655425302","Activated","254","viper","254","0.0948900347655425302",NA,NA,"6","ENCODE--ChIP-seq(rank=70); Literature--ChIP-seq(rank=147); ReMap--ChIP-seq(rank=208); Enrichr--Queries(rank=524); ARCHS4--Coexpression(rank=890); GTEx--Coexpression(rank=1565)","1082","0.373199999999999976","Enrichr Queries,0.3732"
"TP53","-0.0944213059597519139","-0.0944213059597519139","0.0944213059597519139","Repressed","255","viper","255","0.0944213059597519139",NA,NA,"5","Literature--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=165); ARCHS4--Coexpression(rank=822); GTEx--Coexpression(rank=990); Enrichr--Queries(rank=1245)","253","0.060979999999999999","Literature ChIP-seq,0.06098"
"ARID3A","0.0873457066083752065","0.0873457066083752065","0.0873457066083752065","Activated","256","viper","256","0.0873457066083752065",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=520); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1403)","1075","0.370400000000000007","Enrichr Queries,0.3704"
"NFIC","-0.0861735474901514920","-0.0861735474901514920","0.0861735474901514920","Repressed","257","viper","257","0.0861735474901514920",NA,NA,"5","ENCODE--ChIP-seq(rank=84); ReMap--ChIP-seq(rank=92); Enrichr--Queries(rank=298); ARCHS4--Coexpression(rank=346); GTEx--Coexpression(rank=977)","732","0.212299999999999989","Enrichr Queries,0.2123"
"LEF1","-0.0767255020942999855","-0.0767255020942999855","0.0767255020942999855","Repressed","258","viper","258","0.0767255020942999855",NA,NA,"4","ReMap--ChIP-seq(rank=150); ARCHS4--Coexpression(rank=417); Enrichr--Queries(rank=594); GTEx--Coexpression(rank=972)","831","0.256099999999999994","ARCHS4 Coexpression,0.2561"
"SMAD3","0.0711664445582772809","0.0711664445582772809","0.0711664445582772809","Activated","259","viper","259","0.0711664445582772809",NA,NA,"5","Literature--ChIP-seq(rank=20); Enrichr--Queries(rank=60); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=105); GTEx--Coexpression(rank=409)","178","0.042740000000000000","Enrichr Queries,0.04274"
"REST","-0.0513714930675056580","-0.0513714930675056580","0.0513714930675056580","Repressed","260","viper","260","0.0513714930675056580",NA,NA,"6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=78); ARCHS4--Coexpression(rank=338); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=642)","209","0.050849999999999999","ENCODE ChIP-seq,0.05085"
"FOXA1","-0.0417180504745681691","-0.0417180504745681691","0.0417180504745681691","Repressed","261","viper","261","0.0417180504745681691",NA,NA,"6","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=94); Literature--ChIP-seq(rank=120); Enrichr--Queries(rank=307); GTEx--Coexpression(rank=701)","238","0.057740000000000000","ARCHS4 Coexpression,0.05774"
"GATA1","-0.0369946252094498149","-0.0369946252094498149","0.0369946252094498149","Repressed","262","viper","262","0.0369946252094498149",NA,NA,"6","ENCODE--ChIP-seq(rank=35); Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=253); ARCHS4--Coexpression(rank=476); Enrichr--Queries(rank=775); GTEx--Coexpression(rank=1191)","890","0.280500000000000027","Literature ChIP-seq,0.2805"
"RFX1","-0.0311461761038541000","-0.0311461761038541000","0.0311461761038541000","Repressed","263","viper","263","0.0311461761038541000",NA,NA,"4","ReMap--ChIP-seq(rank=207); GTEx--Coexpression(rank=655); ARCHS4--Coexpression(rank=1220); Enrichr--Queries(rank=1315)","1158","0.407600000000000018","GTEx Coexpression,0.4076"
"FOXK2","-0.0207265551706140201","-0.0207265551706140201","0.0207265551706140201","Repressed","264","viper","264","0.0207265551706140201",NA,NA,"4","ReMap--ChIP-seq(rank=211); GTEx--Coexpression(rank=629); Enrichr--Queries(rank=769); ARCHS4--Coexpression(rank=1457)","1127","0.391400000000000026","GTEx Coexpression,0.3914"
"EGR1","-0.0162804736540937793","-0.0162804736540937793","0.0162804736540937793","Repressed","265","viper","265","0.0162804736540937793",NA,NA,"6","Literature--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=91); GTEx--Coexpression(rank=545); Enrichr--Queries(rank=651); ARCHS4--Coexpression(rank=698)","592","0.164599999999999996","Literature ChIP-seq,0.1646"
"ETV4","0.0096689242331702441","0.0096689242331702441","0.0096689242331702441","Activated","266","viper","266","0.0096689242331702441",NA,NA,"4","Enrichr--Queries(rank=226); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=261); GTEx--Coexpression(rank=708)","579","0.160299999999999998","ARCHS4 Coexpression,0.1603"
"STAT4","-0.0053305238478508219","-0.0053305238478508219","0.0053305238478508219","Repressed","267","viper","267","0.0053305238478508219",NA,NA,"4","Literature--ChIP-seq(rank=113); ARCHS4--Coexpression(rank=546); Enrichr--Queries(rank=1131); GTEx--Coexpression(rank=1233)","998","0.335399999999999920","ARCHS4 Coexpression,0.3354"
"CREB3L1","0.0035149142252100794","0.0035149142252100794","0.0035149142252100794","Activated","268","viper","268","0.0035149142252100794",NA,NA,"4","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=100); ReMap--ChIP-seq(rank=196); GTEx--Coexpression(rank=346)","33","0.007371000000000000","ARCHS4 Coexpression,0.007371"
"KLF3","0.0006801382275662927","0.0006801382275662927","0.0006801382275662927","Activated","269","viper","269","0.0006801382275662927",NA,NA,"4","ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=152); GTEx--Coexpression(rank=479); ARCHS4--Coexpression(rank=673)","415","0.108299999999999993","Enrichr Queries,0.1083"
